query_id,question,resolved_doc_id,doc_id,chunk_id,doi,pmid,title,relevance,rationale,annotator,adjudication_status
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,3bd49a1eb6b81bfeee07bf08b41a16e1007921432c10c545bd611c0e1db6ca5e,3bd49a1eb6b81bfeee07bf08b41a16e1007921432c10c545bd611c0e1db6ca5e,acf0c8d3-ee31-5cf1-bea6-8ced25286800,10.1016/j.thromres.2024.02.022,,Complications associated to midline- and long peripheral catheters in adults. Systematic review of literature and proposal for a standardized model for data collection.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,59a970ce3a674b8b843b8c8d5fd15c8028fa9de1af79fd589922ca609994db6e,59a970ce3a674b8b843b8c8d5fd15c8028fa9de1af79fd589922ca609994db6e,666fae17-e1ca-5edb-ba07-c92bc5418745,10.1111/ijn.13301,,Comparison of complications and indwelling time in midline catheters versus central venous catheters: A systematic review and meta-analysis.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,5f286d6b4b9381ccb6882e797a4ccb9ad36920bd775de6986b35d0f1544aa31f,5f286d6b4b9381ccb6882e797a4ccb9ad36920bd775de6986b35d0f1544aa31f,db716463-00cb-5f47-962d-ee01fa434fc5,10.1177/17449871241268513,,Effects of self-management education integrated nursing on cancer patients with PICC placement: a systematic review and meta-analysis.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,600ac93baa3b66d29a42b564f753d6db9cb5c58ded98106a84b27bcfbd26dac2,600ac93baa3b66d29a42b564f753d6db9cb5c58ded98106a84b27bcfbd26dac2,dbd5ec37-c1a5-5779-909b-9ca6a395491a,10.1002/14651858.CD013366.pub2,,Peripherally inserted central catheter design and material for reducing catheter failure and complications.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,654bc2141902687c9325cd6fbfcdfb0a6b42303ab20ecaed74c80bff00c5d242,654bc2141902687c9325cd6fbfcdfb0a6b42303ab20ecaed74c80bff00c5d242,09726e4a-076c-5b39-b60f-7ac3f50a576b,10.1093/cid/ciaf063,,Effectiveness and safety of methods to prevent bloodstream and other infections and noninfectious complications associated with peripherally inserted central catheters: A systematic review and meta-analysis.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,6c4d0a7473468c87812d67d7119aed406f63089a1229f8d7f3fd74ccab2bf072,6c4d0a7473468c87812d67d7119aed406f63089a1229f8d7f3fd74ccab2bf072,3da64ab9-2f0e-553f-a996-69587c022dba,10.1016/s0897-1897(05)80057-6,,Efficacy of sodium chloride versus dilute heparin for maintenance of peripheral intermittent intravenous devices.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,886d1bbda77e52cf7833be6afc63c23a4cdc0cd24f85dde90b8087323ce40b31,886d1bbda77e52cf7833be6afc63c23a4cdc0cd24f85dde90b8087323ce40b31,803bc75e-16a8-54b0-8d91-5edbd498a1a8,10.1001/jamainternmed.2023.8232,,Complication Rates of Central Venous Catheters: A Systematic Review and Meta-Analysis.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,8edfa822bc0437756e2875d5871cee5124bd82c890904e121697e8272fd3d420,8edfa822bc0437756e2875d5871cee5124bd82c890904e121697e8272fd3d420,85754d35-9e5f-5d53-bb17-1730907019d0,10.3390/nursrep14010035,,Brachial Tunneled Peripherally Inserted Central Catheters and the Risk of Catheter Complications: A Systematic Review and Meta-Analysis.,0,"Different catheter type, intervention, or clinical context, so it does not answer the integrated short peripheral catheter question.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,a01794bf7974f8481fc90723194690bbc7ef8d064687827873f01d7e9c081757,a01794bf7974f8481fc90723194690bbc7ef8d064687827873f01d7e9c081757,c0b45a5a-5cf5-582a-99e8-f9175f7f26df,10.1093/cid/ciae195,,Effectiveness and Safety of Measures to Prevent Infections and Other Complications Associated With Peripheral Intravenous Catheters: A Systematic Review and Meta-analysis.,1,"Same peripheral intravenous catheter domain, but it does not directly compare integrated versus non-integrated short peripheral catheters.",codex_assisted_prefill,review_needed
thrombosis_q001,What complications are significantly reduced when using integrated short peripheral catheters compared to non integrated catheters?,bf095d4fdd8647fd03e451ffbf154fc40d7877ca577fb49dc1f660980a5387c8,bf095d4fdd8647fd03e451ffbf154fc40d7877ca577fb49dc1f660980a5387c8,65369019-081e-5e5c-a294-a3c9301a3288,10.1177/11297298231218468,,Integrated short peripheral intravenous cannulas and risk of catheter failure: A systematic review and meta-analysis.,2,Directly compares integrated versus non-integrated short peripheral catheters and reports significantly reduced overall failure and occlusion.,codex_assisted_prefill,review_needed
